epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.647613,0.779572,0.541286,0.836372,0.00029815325108927063
2,0.421487,0.865095,1.502379,0.806919,0.00029265847744427303
3,0.283099,0.910115,1.855336,0.843852,0.0002836509786282552
4,0.164319,0.953058,0.714144,0.838242,0.0002713525491562421
5,0.104182,0.968533,0.793581,0.841982,0.0002560660171779821
6,0.075266,0.977412,0.802877,0.837307,0.000238167787843871
7,0.054879,0.983903,0.965479,0.826087,0.00021809857496093204
8,0.049466,0.985097,1.069255,0.83871,0.00019635254915624216
9,0.045764,0.988005,0.891632,0.858345,0.00017346516975603468
10,0.028038,0.99138,1.022346,0.835437,0.00015000000000000001
11,0.026422,0.992523,1.023038,0.85367,0.0001265348302439654
12,0.02508,0.993821,0.850869,0.845722,0.0001036474508437579
13,0.014914,0.996988,0.939913,0.858345,8.190142503906799e-05
14,0.013021,0.99704,0.875891,0.86115,6.183221215612905e-05
15,0.014635,0.99704,1.106534,0.841515,4.393398282201788e-05
16,0.006821,0.998027,1.277817,0.848527,2.86474508437579e-05
17,0.007866,0.998598,1.012667,0.861618,1.6349021371744834e-05
18,0.013271,0.997923,1.050382,0.854605,7.341522555726972e-06
19,0.004921,0.999221,1.068898,0.84806,1.8467489107293517e-06
