epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.711861,0.757244,0.642286,0.791024,0.0002988172051971717
2,0.587569,0.806418,0.42045,0.866293,0.0002952874741692947
3,0.532156,0.823865,0.508738,0.837775,0.0002894664728832377
4,nan,0.115069,nan,0.056101,0.00028144600200657956
5,nan,0.050213,nan,0.056101,0.00027135254915624217
6,nan,0.050213,nan,0.056101,0.0002593452941132118
7,nan,0.050213,nan,0.056101,0.00024561359846230347
8,nan,0.050213,nan,0.056101,0.0002303740192468495
9,nan,0.050213,nan,0.056101,0.0002138668937347609
10,nan,0.050213,nan,0.056101,0.0001963525491562421
11,nan,0.050213,nan,0.056101,0.00017810719718785873
12,nan,0.050213,nan,0.056101,0.00015941857792939703
13,nan,0.050213,nan,0.056101,0.00014058142207060302
14,nan,0.050213,nan,0.056101,0.00012189280281214133
15,nan,0.050213,nan,0.056101,0.00010364745084375795
16,nan,0.050213,nan,0.056101,8.61331062652391e-05
17,nan,0.050213,nan,0.056101,6.962598075315047e-05
18,nan,0.050213,nan,0.056101,5.4386401537696536e-05
19,nan,0.050213,nan,0.056101,4.06547058867883e-05
1,0.822544,0.73315,0.85475,0.835437,9.96057350657239e-05
20,nan,0.050213,nan,0.056101,2.86474508437579e-05
21,nan,0.050213,nan,0.056101,1.8553997993420465e-05
22,nan,0.050213,nan,0.056101,1.05335271167623e-05
2,0.69254,0.790944,1.075164,0.848995,9.842915805643155e-05
23,nan,0.050213,nan,0.056101,4.712525830705356e-06
24,nan,0.050213,nan,0.056101,1.1827948028283355e-06
3,0.659888,0.808287,1.096486,0.846657,9.648882429441257e-05
25,nan,0.050213,nan,0.056101,0.0
4,0.628744,0.819556,1.687565,0.85367,9.381533400219318e-05
5,0.613784,0.824437,1.107968,0.856007,9.045084971874738e-05
6,0.602627,0.829941,4.186332,0.810659,8.644843137107059e-05
7,0.589429,0.836224,3.286783,0.8518,8.18711994874345e-05
8,0.571022,0.837937,2.420338,0.854137,7.679133974894983e-05
9,0.551038,0.845623,2.477203,0.827957,7.128896457825363e-05
10,0.547625,0.851958,3.113058,0.827957,6.545084971874737e-05
11,0.540319,0.85284,1.423801,0.847592,5.936906572928624e-05
12,0.505721,0.860266,2.215638,0.845722,5.313952597646568e-05
13,0.509463,0.860681,3.061993,0.85741,4.6860474023534335e-05
14,0.497117,0.86307,2.532001,0.877045,4.0630934270713774e-05
15,0.468237,0.867743,2.088038,0.875175,3.454915028125265e-05
16,0.450176,0.874078,1.560156,0.882188,2.871103542174637e-05
17,0.445394,0.878232,2.140912,0.854137,2.3208660251050158e-05
18,0.42326,0.88275,1.710342,0.867695,1.8128800512565513e-05
19,0.407341,0.886696,1.924264,0.845722,1.3551568628929434e-05
20,0.393745,0.891006,2.187281,0.847125,9.549150281252635e-06
21,0.377694,0.893862,1.824692,0.861618,6.184665997806822e-06
22,0.384934,0.893187,1.823045,0.855072,3.5111757055874332e-06
23,0.36037,0.898691,1.595069,0.86676,1.570841943568452e-06
24,0.369231,0.894226,1.485086,0.869098,3.942649342761118e-07
25,0.358247,0.900197,2.802803,0.850397,0.0
